index,Bool_hp,Bool_hpdhw,E_bu,E_budhw,E_cons,E_hp,E_hpdhw,Q_dhwst_hd,Q_hp_sh,Q_hp_ts,Q_loss_dhwst,Q_loss_ts,Q_ts,Q_ts_delta,Q_ts_sh,T_dhwst,T_ts,Set_T,Temp,Req_kWh,Req_kWh_DHW,Temp_supply,Temp_supply_tank,COP_SH,COP_tank,COP_DHW,hp_sh_cons,hp_tank_cons,hp_dhw_cons,Price_flat,Price_DT,Export_price,Price_flat_mod,Price_DT_mod,T_var,Cooling,season,E_PV,T_aux_supply
2017-01-02 08:30:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.34999999999997,1.375135,0.04501875,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 08:45:00+01:00,1.0,0.0,0.0,0.0,0.5556310679611647,0.5556310679611647,0.0,0.0,1.1445999999999992,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,268.34999999999997,1.375135,0.0337679166666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 09:00:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.75,1.03539,0.302663333333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 09:15:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.75,1.03539,0.110957916666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 09:30:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.75,1.03539,0.2125475,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 09:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,269.75,1.03539,0.0348879166666666,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 10:00:00+01:00,1.0,0.0,0.0,0.0,1.375,1.375,0.0,0.0,2.8325,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,270.95,0.9340950000000001,0.0848870833333333,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 10:15:00+01:00,1.0,0.0,0.0,0.0,0.3382427184466028,0.3382427184466028,0.0,0.0,0.6967800000000018,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,270.95,0.9340950000000001,0.11774375,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 10:30:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,270.95,0.9340950000000001,0.06661875,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 10:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,270.95,0.9340950000000001,0.04828375,0.0,0.0,2.06,1.81,1.62,5.5,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 11:00:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.65,2.816225,0.0513716666666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 11:15:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.65,2.816225,0.0409291666666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 11:30:00+01:00,1.0,0.0,0.0,0.0,1.1999999999999995,1.1999999999999995,0.0,0.0,2.8679999999999994,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.65,2.816225,0.116280416666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 11:45:00+01:00,1.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,2.8680000000000008,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.65,2.816225,0.111440833333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 12:00:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.7412375,0.0610866666666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 12:15:00+01:00,1.0,0.0,0.0,0.0,0.2021966527196657,0.2021966527196657,0.0,0.0,0.48325000000000107,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.7412375,0.0203004166666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 12:30:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.7412375,0.05563,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 12:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.7412375,0.23586208333333306,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 13:00:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.813575,0.213007083333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 13:15:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.813575,0.0582858333333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 13:30:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.813575,0.0306808333333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 13:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,0.813575,0.00848833333333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 14:00:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,2.1297425,0.0916154166666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 14:15:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,2.1297425,0.0584579166666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 14:30:00+01:00,1.0,0.0,0.0,0.0,1.1999999999999995,1.1999999999999995,0.0,0.0,2.8679999999999994,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,2.1297425,0.151775416666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 14:45:00+01:00,1.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,2.8680000000000008,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.45,2.1297425,0.11083,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 15:00:00+01:00,1.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,2.8680000000000008,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.25,3.021675,0.0796345833333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 15:15:00+01:00,1.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,2.8680000000000008,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.25,3.021675,0.0105041666666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 15:30:00+01:00,1.0,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0,0.0,2.8680000000000008,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.25,3.021675,0.106980833333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 15:45:00+01:00,1.0,0.0,0.0,0.0,0.22161924686192516,0.22161924686192516,0.0,0.0,0.5296700000000011,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.25,3.021675,0.0343520833333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 16:00:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.95,1.4485700000000001,0.0349958333333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 16:15:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.95,1.4485700000000001,0.19808125,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 16:30:00+01:00,1.0,0.0,0.0,0.0,1.1999999999999995,1.1999999999999995,0.0,0.0,2.8679999999999994,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.95,1.4485700000000001,0.0476258333333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 16:45:00+01:00,1.0,0.0,0.0,0.0,0.547748953974895,0.547748953974895,0.0,0.0,1.3091199999999992,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,272.95,1.4485700000000001,0.0456308333333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 17:00:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.04999999999995,1.02971,0.27282,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 17:15:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.04999999999995,1.02971,0.183661666666666,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 17:30:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.04999999999995,1.02971,0.126152083333333,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 17:45:00+01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.04999999999995,1.02971,0.08346625,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
2017-01-02 18:00:00+01:00,1.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,2.8680000000000003,0.0,0.0,0.0,0.0,0.0,0.0,313.15,0.0,293.15,273.34999999999997,2.1711099999999997,0.11033875,0.0,0.0,2.39,2.04,1.78,4.8,100,5.8,0.29000000000000004,0.2588,100,100,100,100,100,0.0,0,0.0
